ds,y
3/28/2017 0:00,144077.92
3/29/2017 0:00,183021.26
3/30/2017 0:00,176809.76
3/31/2017 0:00,205710.28
4/1/2017 0:00,261375.12
4/2/2017 0:00,120836.45
4/3/2017 0:00,29012.07
4/4/2017 0:00,191383.98
4/5/2017 0:00,174185.39
4/6/2017 0:00,170024.53
4/7/2017 0:00,212057.89
4/8/2017 0:00,229840.66
4/9/2017 0:00,133474.91
4/10/2017 0:00,23416.3
4/11/2017 0:00,197302.92
4/12/2017 0:00,157652.69
4/13/2017 0:00,187590.88
4/15/2017 0:00,310940.21
4/17/2017 0:00,18505.94
4/18/2017 0:00,229198.47
4/19/2017 0:00,250356.26
4/20/2017 0:00,170834.39
4/21/2017 0:00,236328.54
4/22/2017 0:00,274953.76
4/23/2017 0:00,108357.12
4/24/2017 0:00,5899.64
4/25/2017 0:00,166955.44
4/26/2017 0:00,140113.91
4/27/2017 0:00,173941.82
4/28/2017 0:00,223209.16
4/29/2017 0:00,312692.48
4/30/2017 0:00,110109.6
5/1/2017 0:00,61331.12
5/2/2017 0:00,180587.32
5/3/2017 0:00,221160.68
5/4/2017 0:00,175500.68
5/5/2017 0:00,189869.9
5/6/2017 0:00,273624.66
5/7/2017 0:00,115775.39
5/8/2017 0:00,13096.45
5/9/2017 0:00,178277.24
5/10/2017 0:00,205532.38
5/11/2017 0:00,143706.44
5/12/2017 0:00,239937.71
5/13/2017 0:00,265292.37
5/14/2017 0:00,68745.43
5/15/2017 0:00,9832.12
5/16/2017 0:00,216983.2
5/17/2017 0:00,211180.81
5/18/2017 0:00,180005.67
5/19/2017 0:00,193263.36
5/20/2017 0:00,307621.1
5/21/2017 0:00,112825.39
5/23/2017 0:00,110846.15
5/24/2017 0:00,156384.56
5/25/2017 0:00,166828.39
5/26/2017 0:00,93913.78
5/27/2017 0:00,319636.81
5/28/2017 0:00,155601.29
5/29/2017 0:00,37319.77
5/30/2017 0:00,130027.45
5/31/2017 0:00,199491.84
6/1/2017 0:00,215361.17
6/2/2017 0:00,244307.58
6/3/2017 0:00,263644.9
6/4/2017 0:00,124057.14
6/5/2017 0:00,19986.23
6/6/2017 0:00,138882.5
6/7/2017 0:00,160902.86
6/8/2017 0:00,143496.65
6/9/2017 0:00,220129.12
6/10/2017 0:00,255959.1
6/11/2017 0:00,108823.55
6/12/2017 0:00,14008.13
6/13/2017 0:00,172477.4
6/14/2017 0:00,184313.93
6/15/2017 0:00,183280
6/16/2017 0:00,4712.52
6/17/2017 0:00,485969.23
6/18/2017 0:00,131563.51
6/19/2017 0:00,14265.09
6/20/2017 0:00,113526.23
6/21/2017 0:00,171138.32
6/22/2017 0:00,165891.72
6/23/2017 0:00,216043.51
6/24/2017 0:00,299016.88
6/25/2017 0:00,130213.2
6/26/2017 0:00,37959.38
6/27/2017 0:00,189889.08
6/28/2017 0:00,191613.3
6/29/2017 0:00,231318.07
